,category1,category2,category3,category4,category5,category6
0,0.019026888193835034,-0.48436377038487394,-0.11712390952631348,-0.10826463449530177,-0.10826463449530177,-0.044484857877728975
1,-0.25601936607083287,0.0014234188866256684,-0.10099343815108912,-0.07343270269948923,-0.040775345972089184,-0.13303799801147725
2,0.04163640852259295,-0.005907158902432562,0.04296798047399802,0.1323597178421169,0.0700025819414565,-0.4031886334656419
3,-0.11281707370217502,0.0,-0.03178693545981037,-0.013683959995515506,-0.013683959995515506,0.194391179684142
4,-0.040605589135398204,,-0.06323987461738832,0.9698513409284469,-0.16164871939266023,-0.16164871939266023
5,0.3308783670712307,,-0.3635878640140162,0.2485013021173348,0.2485013021173348,0.05615751089549057
6,-0.048219726960815446,,0.08291136391703235,-0.09449642035515039,-0.041214444788347605,-0.007206627138210258
7,-0.002893112647593824,,0.17675447849225925,0.22274554251987386,-0.6990416657458861,0.007883215546732474
8,-0.034716642100479214,,-0.03522913559978721,-0.23770507652488326,0.4282465388486063,0.01605581994313664
9,-0.05204675434575565,,-0.18719353776571568,0.0700025819414565,-0.00168261283506559,0.03001180664808144
10,0.07326007119300694,,0.021358690136078978,-0.011370675221392033,-0.04840482392559197,
11,0.0014234188866256684,,-0.051023779555598614,,,
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
