name,indiv_feature,global_feature,motion,category1,category3
221_s0001,0.1130017730201274,1.7699463085717433,상체 움직임,8,2
221_s0002,0.2372681911476208,1.3689104664294214,팔 책상 위로 올림,16,2
221_s0003,-0.2947642663292523,1.379246076424297,의자 움직임,8,2
221_s0004,-0.6478466622725277,1.4017534346562253,팔 움직임,16,2
221_s0005,-0.6103077493648769,2.083354593176041,의자 움직임,8,2
221_s0006,-0.3589477199473811,1.9073536622862457,턱 괴기,48,16
221_s0007,-0.6493659398355438,1.9639415143048735,웃음,4,8
221_s0008,-0.4356111113209946,1.4770157417337306,고개 움직임,128,128
221_s0009,0.2500814454488315,0.2043558883915395,의자 움직임,8,2
221_s0010,-0.0212962838460351,0.2535613498741013,입 움직임,512,512
221_s0011,-0.1427584462641093,0.3035664470842845,미소,512,512
221_s0012,-0.3481203028684234,0.4226164583663359,상체 움직임,8,2
221_s0013,-0.5092312192910727,0.7922445564127216,미소,512,512
221_s0014,-0.586999264400972,-0.0762336982538408,손으로 눈 만짐,48,2048
221_s0015,-0.3354809388799029,0.5554243383738507,팔 움직임,16,2
221_s0016,-2.8151386024510363,0.7852369425367199,상체 움직임,8,2
221_s0017,-2.5616784943126056,1.850890537398166,상체 움직임,8,2
221_s0018,-1.732627952272276,2.306786060466093,팔 움직임,16,2
221_s0019,-1.256300649264667,1.962995773734581,손 움직임,32,2
221_s0020,-0.0782455920570818,-0.5584657530278213,팔 움직임,16,2
221_s0021,0.272155205155525,-0.5415846433610618,상체 움직임,8,2
221_s0022,-0.6633892078700578,-0.1059347848376021,팔 움직임,16,2
221_s0023,-0.7303628594303897,0.317117696386237,팔 움직임,16,2
221_s0024,-0.0953891900401393,-1.066061585411624,팔 움직임,16,2
221_s0025,-0.4253042885953401,-1.4624106235911944,상체 움직임,8,2
221_s0026,-0.4240921074654613,0.3659025181475406,턱 괴기,48,16
221_s0027,-0.1489285837247701,0.7095003834090576,손 꼼지락,32,2
221_s0028,0.0180705449333584,0.3885707508657496,팔 움직임,16,2
221_s0029,0.4822131759344323,0.026642638781898,팔 움직임,16,2
221_s0030,-0.1743099608562629,-0.4046667689496299,손 꼼지락,32,2
221_s0031,-0.6510453966900629,-1.305049748157768,"팔 움직임, 의자 움직임",24,2
221_s0032,-0.3170761342202624,-1.199704529313883,상체 움직임,8,2
221_s0033,-0.3015404915428177,-0.6357468977639962,팔 움직임,16,2
221_s0034,-0.0187424728521298,0.0972131701246313,상체 움직임,8,2
221_s0035,0.0630692110232717,0.5783466882384037,팔 움직임,16,2
221_s0036,0.2187068844754883,0.1760359668058355,시선 위,2048,2048
221_s0037,-0.2683451560650486,0.3064666065598698,의자 움직임,8,2
221_s0038,0.7465695774246253,-0.4389720628208408,의자 움직임,8,2
221_s0039,0.4390079730561481,-0.5446383725167818,고개 움직임,128,128
221_s0040,-0.3280884304640135,-0.3107688497182589,의자 움직임,8,2
221_s0041,-0.467037931679042,0.4056603327300411,턱 괴기,48,16
221_s0042,0.9548168322464432,0.4969496222507086,팔 움직임,16,2
221_s0043,0.7018699691451159,-0.0270250845032781,손으로 머리 만짐,48,4
221_s0044,0.9048047736380928,-0.5117324980375871,"손 꼼지락, 의자 움직임",40,2
221_s0045,-0.0933895862644738,0.2600490040705103,상체 움직임,8,2
221_s0046,0.1605006776130046,-0.2284707228470304,자세 변경,2,2
221_s0047,-0.2687935715854143,-0.1662421043889148,의자 좌우 움직임,8,2
