name,indiv_feature,global_feature,motion,category1,category2,category3,category4,category5,category6
119_s0001,-1.2152816374876731,2.7611224200325424,웃음,4,512,8,256,256,32
119_s0002,-0.6851461037488642,0.4249895540987454,입술 움직임,512,512,512,2,4,16
119_s0003,-0.4706814389134354,-0.7500537573437058,입술 모으기,512,512,512,2,4,16
119_s0004,-0.1082897088326101,-1.3354668045218925,입술 내밀기,512,512,512,2,4,16
119_s0005,-0.8366273057652455,0.212205760080624,몸 뒤로 움직임,8,512,2,2,4,8
119_s0006,-0.3584662554662614,-0.0952630430034841,의자 흔듬,8,512,1,2,2,2048
119_s0007,-0.3650368826124038,-0.0641469905020735,허리 핌,8,512,2,2,4,8
119_s0008,0.7020790004173868,-0.6592000066516308,팔 움직임,16,512,2,2,4,8
119_s0009,-0.3590675047761761,-1.1254057530094816,팔 움직임,16,512,2,2,4,8
119_s0010,0.4478779792026827,0.2135044577094353,몸 & 팔 움직임,24,512,2,2,4,8
119_s0011,0.8196980444502165,0.5226489190236633,몸 움직임,8,512,2,2,4,8
119_s0012,-0.3959165772466188,-0.3225743582505514,입술 움직임,512,512,512,2,4,16
119_s0013,-0.7976111123384592,1.0413314924186328,몸 움직임,8,512,2,2,4,8
119_s0014,-0.4801507457746533,1.0953233559523463,팔 움직임,16,512,2,2,4,8
119_s0015,-0.3167941514927641,0.5305131370229449,입술 & 팔 움직임,528,512,514,2,4,24
119_s0016,-0.6600384378545453,0.6393358942810733,팔 움직임,16,512,2,2,4,8
119_s0017,-2.1431867321838145,1.194397292195474,입술 움직임,512,512,512,2,4,16
119_s0018,-1.8258360992695215,2.0476501181594258,머리 & 몸 흔듬,136,512,130,2,4,24
119_s0019,-1.2728215680315789,0.1526505573584634,웃음,4,512,8,256,256,32
119_s0020,-0.6834441693975767,-0.1635834804746037,입술 움직임,512,512,512,2,4,16
119_s0021,-0.5512084535663997,1.4340778557011171,입술 움직임,512,512,512,2,4,16
119_s0022,-0.3242303038672901,0.735748898443957,입술 움직임,512,512,512,2,4,16
119_s0023,-1.1352111603630364,0.8462761446367925,팔 움직임,16,512,2,2,4,8
119_s0024,-1.3303492175449132,1.1896636881496716,몸 움직임,8,512,2,2,4,8
119_s0025,-1.569996163353488,0.8502705048151376,팔 움직임,16,512,2,2,4,8
119_s0026,-1.9025977053302148,-0.0405665912769638,고개 움직임,128,512,128,2,4,16
119_s0027,-0.095605645761329,1.0663979250996125,팔 움직임,16,512,2,2,4,8
119_s0028,-0.8438812106705772,0.9937348336921908,팔 움직임,16,512,2,2,4,8
119_s0029,-0.9540175634309572,0.3776879553136523,몸 움직임,8,512,2,2,4,8
119_s0030,-0.9731722233859154,-0.2349857307997218,팔 움직임,16,512,2,2,4,8
119_s0031,0.2120828590788099,0.5765347672641171,웃음,4,512,8,256,256,32
119_s0032,0.0217701943488768,-1.2968034033018605,입술 움직임,512,512,512,2,4,16
119_s0033,-0.2372206443737983,0.0252695459957772,팔 움직임,16,512,2,2,4,8
119_s0034,-0.0885195447167905,-0.1248282363788541,입술 모으기,512,512,512,2,4,16
119_s0035,-1.5919544233816778,0.3699602696547491,몸 움직임,8,512,2,2,4,8
119_s0036,-2.17026575445266,0.798678096328559,고개 움직임,128,512,128,2,4,16
119_s0037,-1.565756169122408,0.8136780215092422,몸 움직임,8,512,2,2,4,8
119_s0038,-1.9076421739470384,0.691403182365489,입술 움직임,512,512,512,2,4,16
