name,indiv_feature,global_feature,motion,category1,category2,category3,category4,category5,category6
108_s0001,0.6720661220363777,0.816676156132851,몸 움직임,8,512,2,2,4,8
108_s0002,0.0939266771551874,0.6486271045888796,몸 움직임,8,512,2,2,4,8
108_s0003,0.1484318676612465,0.78964368449104,몸 움직임,8,512,2,2,4,8
108_s0004,-0.5100488170898875,0.7528213158665836,자세 바로잡기,2,512,2,2,4,8
108_s0005,-0.8566934020435715,0.8498046315871494,몸 움직임,8,512,2,2,4,8
108_s0006,-1.1705090156062248,0.2540833836403768,입술 움직임,512,512,512,2,4,16
108_s0007,-0.6467092761916065,0.4375478940740661,몸 움직임,8,512,2,2,4,8
108_s0008,-0.7041321131643826,-0.9009118970069492,몸 움직임,8,512,2,2,4,8
108_s0009,-1.3532420278836943,-0.8628347649699574,입술 움직임,512,512,512,2,4,16
108_s0010,-1.5117156613041327,-0.3363704721479587,몸 움직임,8,512,2,2,4,8
108_s0011,-1.4967798523686062,0.2012429263405362,몸 움직임,8,512,2,2,4,8
108_s0012,-1.1052251304077323,-0.1417298261619813,입술 움직임,512,512,512,2,4,16
108_s0013,-1.0887706457329274,0.3679888456963979,몸 움직임,8,512,2,2,4,8
108_s0014,-0.4169357189443872,0.0175874830728805,몸 움직임,8,512,2,2,4,8
108_s0015,-0.1268915830835622,0.5533733482792998,몸 움직임,8,512,2,2,4,8
108_s0016,-0.4192277601081434,0.0291353517872376,머리 움직임,128,512,128,2,4,16
108_s0017,-0.6508787508268783,-0.2748538653965092,고개 움직임,128,512,128,2,4,16
108_s0018,-1.0567413679389712,0.4308420398871172,몸 움직임,8,512,2,2,4,8
108_s0019,-1.237674682309548,-0.5385893036539952,몸 움직임,8,512,2,2,4,8
108_s0020,-1.0252244653568394,-0.3855539063978439,자세 바로잡기,2,512,2,2,4,8
108_s0021,-0.2129556166446636,-0.7320337748796392,몸 움직임,8,512,2,2,4,8
108_s0022,0.0280193033077804,-1.06170597637973,몸 움직임,8,512,2,2,4,8
108_s0023,-0.359225951651083,-0.2610129484879033,몸 움직임,8,512,2,2,4,8
108_s0024,-1.0754915001701602,0.3006198628575913,몸 움직임,8,512,2,2,4,8
108_s0025,-0.8699515604128155,0.7678436184281155,자세 바로잡기,2,512,2,2,4,8
108_s0026,0.4261469475735414,0.2438039035090333,몸 움직임,8,512,2,2,4,8
108_s0027,1.4564095012018738,0.5616610134506925,자세 바로잡기,2,512,2,2,4,8
108_s0028,0.4938936041426814,0.575335752723277,몸 움직임,8,512,2,2,4,8
108_s0029,-1.2829810281588592,-0.3998049388080168,자세 바로잡기,2,512,2,2,4,8
108_s0030,-1.128344872423698,-0.51000580978257,고개 움직임,128,512,128,2,4,16
108_s0031,0.0785098054046898,-0.4007490006923396,몸 움직임,8,512,2,2,4,8
108_s0032,-0.533482789373194,-0.1269117019489809,몸 움직임,8,512,2,2,4,8
108_s0033,-1.0417460052511387,0.3166534944674374,자세 바로잡기,2,512,2,2,4,8
108_s0034,-0.9002407878686337,-1.2920682809636224,팔 움직임,16,512,2,2,4,8
108_s0035,-1.3393310433982202,-1.5984671428296138,팔 움직임,16,512,2,2,4,8
108_s0036,-0.8726055112279199,-1.471991798179654,자세 바로잡기,2,512,2,2,4,8
108_s0037,0.7199295616915401,0.2404536747438118,자세 바로잡기,2,512,2,2,4,8
108_s0038,1.5346898190605818,-0.6645863717164273,몸 움직임,8,512,2,2,4,8
108_s0039,2.065811782377009,-0.0207252109458568,자세 바로잡기,2,512,2,2,4,8
108_s0040,0.1458109569378649,1.4946357130852932,자세 바로잡기,2,512,2,2,4,8
108_s0041,0.7641654656759399,1.5607381374581153,몸 움직임,8,512,2,2,4,8
108_s0042,-0.002124633023173,-0.2149553439357253,코 만짐,48,512,1024,2,4,1024
108_s0043,-0.0494218550269919,-1.0462344075438317,몸 움직임,8,512,2,2,4,8
108_s0044,1.1202781797757957,0.6810017021562613,몸 움직임,8,512,2,2,4,8
108_s0045,2.201071707682234,1.6758764060125773,목 만짐,48,512,128,2,4,1024
108_s0046,1.9732716585619747,0.2959801858061285,몸 움직임,8,512,2,2,4,8
108_s0047,0.0118620714158287,-0.9530108822827804,몸 움직임,8,512,2,2,4,8
108_s0048,-0.1691667897465704,-1.024357729054289,입술 움직임,512,512,512,2,4,16
108_s0049,-0.4883793317943938,-0.9707145870967268,입술 움직임,512,512,512,2,4,16
108_s0050,0.1395382811089,-0.6722087858840204,입술 움직임,512,512,512,2,4,16
108_s0051,0.0788768574901061,-0.3656692803121066,입술 움직임,512,512,512,2,4,16
108_s0052,0.4572764737003462,-0.0039638357521297,입술 움직임,512,512,512,2,4,16
108_s0053,0.6099031374036011,-1.9898249007110589,입술 움직임,512,512,512,2,4,16
108_s0054,-0.0484985527086054,-1.291665164560284,입술 움직임,512,512,512,2,4,16
108_s0055,-1.9940899319876637,-0.6104410564116796,입술 움직임,512,512,512,2,4,16
108_s0056,-2.234228167890652,-1.207069527631225,몸 움직임,8,512,2,2,4,8
108_s0057,-0.5459066181561512,-1.6595216393207703,몸 움직임,8,512,2,2,4,8
108_s0058,-0.5067891620171304,0.198058118167496,몸 움직임,8,512,2,2,4,8
108_s0059,0.0695865462359251,0.2449448707312184,몸 움직임,8,512,2,2,4,8
108_s0060,1.0112764630614064,0.8877511059407125,몸 움직임,8,512,2,2,4,8
108_s0061,0.6035470847009663,0.5891795712347746,자세 바로잡기,2,512,2,2,4,8
108_s0062,0.4226082946552555,1.0212045471088615,자세 바로잡기,2,512,2,2,4,8
108_s0063,-0.1185745143403235,1.37320100540835,몸 움직임,8,512,2,2,4,8
108_s0064,0.7005847862542427,1.5588043657207624,몸 움직임,8,512,2,2,4,8
108_s0065,1.5233804023485684,1.4110568584980898,몸 움직임,8,512,2,2,4,8
108_s0066,0.6821167201704339,1.474757114706334,몸 움직임,8,512,2,2,4,8
108_s0067,-0.0356465185656788,1.4393772407484742,입술 움직임,512,512,512,2,4,16
108_s0068,0.1047744654237364,-1.3193848757830384,몸 움직임,8,512,2,2,4,8
108_s0069,-0.8252342642720535,-0.7643692195828622,귀 만짐,48,512,64,2,4,1024
108_s0070,-0.4951377570248503,-0.3559485561810446,팔 움직임,16,512,2,2,4,8
108_s0071,0.3422199025729908,2.001144833514773,손 움직임,32,512,2,2,4,8
108_s0072,0.3009285145472726,2.640120651807408,손 움직임,32,512,2,2,4,8
108_s0073,0.3689942442949287,2.3255563543226088,자세 바로잡기,2,512,2,2,4,8
108_s0074,0.691810210190092,2.589564615305477,몸 움직임,8,512,2,2,4,8
108_s0075,0.7487261906321032,2.342365633429921,몸 움직임,8,512,2,2,4,8
108_s0076,0.0202567930378623,1.1719340274579804,몸 움직임,8,512,2,2,4,8
108_s0077,-0.9281283322139796,0.6415573147396252,몸 움직임,8,512,2,2,4,8
108_s0078,-1.0350087967424362,1.0746381751166996,몸 움직임,8,512,2,2,4,8
108_s0079,0.2716728018857881,-0.1657940339977465,자세 바로잡기,2,512,2,2,4,8
108_s0080,0.6190406201468727,-0.2937778817169548,고개 움직임,128,512,128,2,4,16
108_s0081,0.6625719489582841,-0.0764002277937786,자세 바로잡기,2,512,2,2,4,8
108_s0082,0.0715381806317262,0.9239313260226288,몸 움직임,8,512,2,2,4,8
108_s0083,0.1536416665010255,2.2136012452504232,몸 움직임,8,512,2,2,4,8
108_s0084,0.062405982276474,1.0895559368798442,몸 움직임,8,512,2,2,4,8
108_s0085,2.5004829598260385,1.4815392898101172,몸 움직임,8,512,2,2,4,8
108_s0086,0.2169045317110402,1.7246259870080152,몸 움직임,8,512,2,2,4,8
108_s0087,-1.1784365079643409,0.660235554161626,몸 움직임,8,512,2,2,4,8
108_s0088,-0.5407120175948962,0.371722403964994,몸 움직임,8,512,2,2,4,8
108_s0089,-0.7267837762893266,-0.721229438041399,끄덕거림,128,512,128,2048,2048,32
108_s0090,-1.25618061125808,-1.7701325348487067,몸 움직임,8,512,2,2,4,8
108_s0091,-1.1555993168534986,-1.95456692603,몸 움직임,8,512,2,2,4,8
108_s0092,-1.2818029367811583,-1.0543814433996812,자세 바로잡기,2,512,2,2,4,8
108_s0093,-0.9002601422792663,1.103404783013054,몸 움직임,8,512,2,2,4,8
108_s0094,-1.2118795371338047,0.6256253588188614,고개 움직임,128,512,128,2,4,16
108_s0095,-1.1000521880058354,-1.4753167850404003,고개 움직임,128,512,128,2,4,16
108_s0096,-1.0562689228797784,-0.9893173574297922,손 움직임,32,512,2,2,4,8
108_s0097,-0.3957960203238227,-1.1662461053911957,자세 바로잡기,2,512,2,2,4,8
108_s0098,-0.9937360484303857,-0.3141234748784149,팔 움직임,16,512,2,2,4,8
108_s0099,-0.9632675930322318,0.0513795036890434,고개 움직임,128,512,128,2,4,16
108_s0100,-0.1431838461844312,0.1938582785643539,몸 움직임,8,512,2,2,4,8
108_s0101,0.9191077407940852,-0.3453191062811656,입술 만짐,48,512,512,2,4,1024
108_s0102,0.2194572730795808,-0.2257667145309063,몸 움직임,8,512,2,2,4,8
108_s0103,-0.0443716874540044,0.6360160198102444,자세 바로잡기,2,512,2,2,4,8
108_s0104,-0.403861929576553,-0.6037642867725344,몸 움직임,8,512,2,2,4,8
108_s0105,-0.6783418540891506,-1.346043817983874,몸 움직임,8,512,2,2,4,8
108_s0106,-0.858674436913523,-0.7534697463510118,고개 움직임,128,512,128,2,4,16
108_s0107,0.8936621597615635,-0.1836619727165876,몸 움직임,8,512,2,2,4,8
108_s0108,0.7295211603503323,0.3959214759245282,몸 움직임,8,512,2,2,4,8
108_s0109,-1.237891532105484,-1.2534699327496237,몸 움직임,8,512,2,2,4,8
108_s0110,-1.6906585176953797,-0.978156403508944,몸 움직임,8,512,2,2,4,8
108_s0111,-1.1779848309801415,-0.3589835283079453,몸 움직임,8,512,2,2,4,8
108_s0112,-0.5236049421900892,-0.0473957784869697,자세 바로잡기,2,512,2,2,4,8
108_s0113,-1.016789639853496,-1.082765386363408,몸 움직임,8,512,2,2,4,8
108_s0114,-0.0832663325843809,-1.498949496228403,몸 움직임,8,512,2,2,4,8
108_s0115,0.4261849975112831,0.3221307713071988,자세 바로잡기,2,512,2,2,4,8
108_s0116,1.0420433538097729,2.0505089490670403,몸 움직임,8,512,2,2,4,8
108_s0117,1.669066840504395,1.8906874199600976,손 움직임,32,512,2,2,4,8
108_s0118,-1.4708933497134844,-1.1128228520255414,자세 바로잡기,2,512,2,2,4,8
108_s0119,0.985254175558568,0.6198659859542848,자세 바로잡기,2,512,2,2,4,8
108_s0120,2.006398008828714,0.9866022749359604,자세 바로잡기,2,512,2,2,4,8
108_s0121,2.376304801749885,-0.2480162079567509,고개 움직임,128,512,128,2,4,16
108_s0122,1.4237532057586009,-0.1807726072351795,몸 흔듬,8,512,2,2,4,8
108_s0123,0.2578579491675298,0.1760369444072951,고개 움직임,128,512,128,2,4,16
108_s0124,0.635253473831629,0.5186769934352707,몸 움직임,8,512,2,2,4,8
108_s0125,1.2284070406348102,-0.2536852262419646,고개 움직임,128,512,128,2,4,16
108_s0126,-0.6001987386267694,0.370024259021748,자세 바로잡기,2,512,2,2,4,8
108_s0127,-0.6527989703698719,0.6357685560543324,입술 내밀기,512,512,512,2,4,16
108_s0128,-0.8036339318719474,-0.7917885679278065,코 긁음,48,512,1024,2,4,1024
108_s0129,0.1620668510933431,-1.1000531881643365,몸 흔듬,8,512,2,2,4,8
108_s0130,-0.4752616299151189,-0.6423066415448045,몸 흔듬,8,512,2,2,4,8
108_s0131,-0.227254402899775,-0.6784881718504419,머리 움직임,128,512,128,2,4,16
108_s0132,0.715596186070799,-0.5011356875500415,몸 흔듬,8,512,2,2,4,8
108_s0133,-1.0383092669616591,-1.6536050741105148,몸 흔듬,8,512,2,2,4,8
108_s0134,-1.405391046945584,-1.4242205072282366,자세 바로잡기,2,512,2,2,4,8
108_s0135,0.2274605172030969,-1.1394572822170377,자세 바로잡기,2,512,2,2,4,8
108_s0136,1.8336336886053115,-0.4367776742027983,몸 움직임,8,512,2,2,4,8
108_s0137,1.584302506873306,0.1080683601526098,고개 움직임,128,512,128,2,4,16
108_s0138,3.182911409496414,-0.4786463402635065,몸 움직임,8,512,2,2,4,8
108_s0139,2.9815690050928803,-0.6221630935240896,입술 움직임,512,512,512,2,4,16
108_s0140,2.412351933354498,0.7348855560421654,자세 바로잡기,2,512,2,2,4,8
108_s0141,-0.2050657994734951,0.8832837387494592,몸 흔듬,8,512,2,2,4,8
108_s0142,0.83861204991648,-0.3987167535148677,몸 흔듬,8,512,2,2,4,8
108_s0143,0.3192244644613243,-0.676048097456523,자세 바로잡기,2,512,2,2,4,8
108_s0144,0.8394438174848001,-0.6852308447175787,팔 움직임,16,512,2,2,4,8
108_s0145,1.28714520499406,-1.044558068000912,팔 움직임,16,512,2,2,4,8
108_s0146,1.2767727457543263,-0.5386774258968817,입술 만짐,48,512,512,2,4,1024
108_s0147,0.8785273834699493,-0.3687156983695852,팔 움직임,16,512,2,2,4,8
108_s0148,0.4145925009706779,-0.6111234896753855,입술 만짐,48,512,512,2,4,1024
