name,indiv_feature,global_feature,motion,category1,category3
121_s0001,-0.5165299317722409,1.5347729551300822,의자 흔듬,8,1
121_s0002,-0.9784899672515202,1.3923598221870288,입술 움직임,512,512
121_s0003,-1.1803031219754931,1.4573490539164229,팔 팔걸이 위로,16,2
121_s0004,-0.7163244423467027,0.4293345656829841,팔 움직임,16,2
121_s0005,-0.3836549020095071,0.1936452383242583,고개 움직임,128,128
121_s0006,-0.589934786672605,-0.096248259274559,입술 내밀기,512,512
121_s0007,-0.8499704897972941,0.060947711671071,고개 움직임,128,128
121_s0008,-1.73148583429863,-0.681062237528555,입술 움직임,512,512
121_s0009,-1.5562462371425867,-0.3567679225342266,고개 움직임,128,128
121_s0010,-1.359498918786246,-0.4520746844385494,귀 만짐,48,64
121_s0011,-0.8376652058971202,-0.3464263979556484,팔 책상 위로,16,2
121_s0012,0.4176889648192766,0.4570139850533711,입술 움직임,512,512
121_s0013,0.6886942599416508,0.9171554687596324,손 움직임,32,2
121_s0014,1.7308727729903677,1.9160571063003864,손 움직임,32,2
121_s0015,1.71942306065123,2.052102868312877,코 만짐,48,1024
121_s0016,1.3811717516606177,1.5860141546068878,손 움직임,32,2
121_s0017,-0.4478253723526841,0.4355039422047456,귀 만짐,48,64
121_s0018,-0.2445074217440867,0.1665467098838022,팔 & 손 움직임,48,2
121_s0019,-0.168691377549967,0.7291142909526714,몸 움직임,8,2
121_s0020,-0.145261791421077,0.5694610592784446,고개 움직임,128,128
121_s0021,0.3018104270939499,-0.3184971793617925,몸 움직임,8,2
121_s0022,-1.271561126467916,-0.1419404400325619,어깨 움직임,16,2
121_s0023,-1.192339545248798,0.1072840638129041,고개 움직임,128,128
121_s0024,-0.7766540361591636,0.0471443246685873,고개 움직임,128,128
121_s0025,-0.2341442407598288,0.3283517944909434,어깨 움직임,16,2
121_s0026,-0.2430066153792341,0.114860615100056,고개 움직임,128,128
121_s0027,0.2006557122840162,0.1967311469368258,팔 움직임,16,2
121_s0028,0.4497670289001364,0.6437483226017474,손 움직임,32,2
121_s0029,0.4454738073913216,0.64315503235533,입술 움직임,512,512
121_s0030,1.4738689370579672,1.3702426711195457,자세 바로잡기,2,2
121_s0031,2.987161572194456,1.976481104020079,입술 움직임,512,512
121_s0032,3.112671877142751,2.001062216994156,의자 흔듬,8,1
121_s0033,3.1866658422129173,2.0180381630981747,고개 움직임,128,128
121_s0034,2.9810799767303555,2.2691192924778893,입술 움직임,512,512
121_s0035,2.8401069861656065,1.5706976207977623,고개 움직임,128,128
121_s0036,2.759696781473215,1.4065167449294689,의자 흔듬,8,1
121_s0037,2.357008648606199,0.9821478054309531,입술 움직임,512,512
121_s0038,1.2095448420121526,0.4626289168293615,입술 움직임,512,512
121_s0039,1.3770455425539896,0.741117198337803,입술 움직임,512,512
121_s0040,1.023427242428157,0.1348421493984066,고개 움직임,128,128
121_s0041,1.031406362236844,1.1323141046469716,고개 움직임,128,128
121_s0042,0.8952600032821274,0.3982333253644711,고개 움직임,128,128
121_s0043,0.3148606931181603,-0.4427675220199061,의자 흔듬,8,1
121_s0044,-0.4592450189379719,-1.141815322959042,의자 흔듬,8,1
121_s0045,-1.2381602603114503,0.0986587381520855,고개 움직임,128,128
121_s0046,-1.3069020237838462,0.0013536010349174,팔 팔걸이 위로,16,2
121_s0047,-0.4094720484985794,0.5733828603846836,옷 만짐,48,1
121_s0048,-1.047561667003406,0.5005184176835701,몸 움직임,8,2
121_s0049,-1.2868719434227094,0.170070022688801,의자 흔듬,8,1
121_s0050,-1.278708405507922,0.1447635324893424,팔 움직임,16,2
121_s0051,-1.3514839686087314,0.1721080697745289,입 움직임,512,512
121_s0052,-0.833446959246818,-0.7602684325265295,의자 흔듬,8,1
121_s0053,-0.6805486849270814,-0.7161573183146498,입술 움직임,512,512
121_s0054,-0.0859802495878121,-1.6096822458805589,몸 움직임,8,2
121_s0055,0.4318239869783593,-1.5025728047475737,고개 움직임,128,128
121_s0056,0.495170733506344,-0.9480268597850824,팔 움직임,16,2
121_s0057,0.5199460356945023,-1.0633851999321209,입 움직임,512,512
121_s0058,0.54152185323476,-0.6447744690232913,의자 흔듬,8,1
121_s0059,0.7210301613364208,0.4592767583195212,의자 흔듬,8,1
121_s0060,0.6855197384051845,0.9623321450625584,고개 움직임,128,128
121_s0061,0.5851559346349482,1.119900347661291,자세 바로잡기,2,2
121_s0062,0.5256653467249311,0.5319158168603182,몸 & 고개 움직임 & 턱받침,184,146
121_s0063,0.0922915290814761,0.3530653892791514,팔 움직임,16,2
121_s0064,-0.6647732622780861,-0.4450381756313097,몸 & 손 움직임,40,2
121_s0065,-0.9583121264749462,-0.8052624308198034,손 & 팔 움직임,48,2
121_s0066,-1.0602801779303428,-1.340950009537892,팔 내림,16,2
121_s0067,-1.2569980516607615,-1.5184794753099509,의자 흔듬,8,1
121_s0068,-1.2027355756384588,-1.576812226910359,의자 흔듬,8,1
121_s0069,-0.8589899553229209,-1.5209710331688835,고개 움직임,128,128
121_s0070,-0.9076704436352662,-1.3838626002233048,의자 흔듬,8,1
121_s0071,-0.9871229322091912,-1.116681190097188,의자 앞으로 당김,8,1
121_s0072,-0.624314938071006,-0.6303986321061137,팔꿈치 책상 위로,16,2
121_s0073,-0.4615148360764675,-0.1649311381138928,고개 움직임,128,128
121_s0074,-0.9023590564182068,-0.3248111426521056,손 움직임,32,2
121_s0075,-0.4744492704932405,0.3738500383192687,손 움직임,32,2
121_s0076,-0.9069889264752466,0.4214285235032202,몸 & 팔 움직임,24,2
121_s0077,-1.128945803432268,0.2218840498446748,몸 움직임,8,2
121_s0078,-1.3036956249184453,-0.3461026060701571,몸 움직임,8,2
121_s0079,-1.3847687272007845,-0.7110930332774588,고개 움직임,128,128
121_s0080,-0.544105247128737,-1.0912659432339789,몸 움직임,8,2
121_s0081,-0.2460350154403614,-0.7863668804952672,의자 흔듬,8,1
121_s0082,-0.4002943679090009,-1.1980016411360013,몸 움직임,8,2
121_s0083,-0.4088899637575597,-1.1858587742941389,고개 움직임,128,128
121_s0084,-0.8301187001659046,-1.1998138276598491,몸 뒤로 움직임,8,2
121_s0085,-0.6419205202414506,-0.685985012553106,의자 흔듬,8,1
121_s0086,-0.3323701921772007,-0.591552761706143,입술 움직임,512,512
121_s0087,0.1890162382691776,-0.197661450593705,고개 움직임,128,128
121_s0088,0.317637754268137,-0.33495255300735,몸 움직임,8,2
121_s0089,0.7349487085935414,0.2462239490476609,몸 움직임,8,2
121_s0090,0.5622596272721714,0.0404943123532391,의자 흔듬,8,1
121_s0091,-0.4761237280632088,-0.2201962377133455,허리 핌,8,2
121_s0092,-0.4948794253040669,0.392707780594476,팔 움직임,16,2
121_s0093,-0.4961271867749795,0.3236590836265963,귀 만짐,48,64
121_s0094,0.10182935694362,0.7222783681376213,허리 굽힘 & 고개 움직임,136,130
121_s0095,1.1472267444542177,1.1583391480497736,팔 책상 위로,16,2
121_s0096,1.2994446975129172,1.1882667951549226,팔 움직임,16,2
121_s0097,0.9469938070367132,0.4093860566303547,고개 움직임,128,128
121_s0098,0.6981292717383153,0.7776809602769688,손 움직임,32,2
121_s0099,0.1080739988176993,0.8593496705221356,손 움직임,32,2
121_s0100,-0.1208650565884097,0.7878942523697839,고개 움직임,128,128
121_s0101,-0.3465267172737992,0.8561781512930327,고개 움직임,128,128
121_s0102,-0.3505855949047614,0.8225703969330506,손 움직임,32,2
121_s0103,-0.528342418054743,-0.3873146485179513,팔 & 손 움직임,48,2
121_s0104,-0.1997868564953021,-0.7272253647475762,손 움직임,32,2
121_s0105,-1.1899608262063082,-0.8523210347176229,몸 움직임,8,2
121_s0106,-0.6448962559341,-0.2246979355445416,몸 움직임,8,2
121_s0107,-0.5923778051248482,-0.2637402957110266,손 움직임,32,2
121_s0108,0.6082572881263074,0.8033004064618435,고개 움직임,128,128
121_s0109,0.073964533766086,0.2696083869193755,손 움직임,32,2
121_s0110,0.016401863634756,-0.0680498390444774,고개 움직임,128,128
121_s0111,-0.1058240535641343,-0.1085438750893352,손 움직임,32,2
121_s0112,-0.0853338025263408,-0.1960517919040418,고개 움직임,128,128
121_s0113,-0.019506881985152,-0.0837481805520665,몸 뒤로 움직임,8,2
121_s0114,0.3167642383661085,0.3205419621612496,몸 좌우로 움직임,8,2
121_s0115,0.5326199446165979,0.8024115447248806,코 만짐,48,1024
121_s0116,0.99792515335646,1.2310490988686305,고개 움직임,128,128
121_s0117,1.3152404332755818,1.5673252854296027,팔 책상 위로,16,2
121_s0118,1.1777105739349378,1.637428987840025,손 움직임,32,2
121_s0119,0.1550334921149687,1.1143205436146233,팔 움직임,16,2
121_s0120,-0.7215352173583117,0.9075317363735316,허리 핌,8,2
121_s0121,-0.7933141703081633,0.7022982227541712,팔 움직임,16,2
121_s0122,0.102177848035837,-0.6646849100242125,고개 움직임,128,128
121_s0123,-0.3691149369316356,-1.0526717427959358,입술 움직임,512,512
121_s0124,-0.5089303224153238,-1.0213781653965444,몸 뒤로 움직임,8,2
121_s0125,-0.4164200163679171,-0.5886885251967733,의자 흔듬,8,1
