name,indiv_feature,global_feature,motion
124_s0001,-2.501223120274501,1.7979909000299734,손으로 코 만짐
124_s0002,-1.7285239127314702,1.6103159891399637,웃음
124_s0003,-1.4401250142542872,1.5977751913649703,어깨 움직임
124_s0004,-1.6577569508604981,2.165886026128352,손으로 코 만짐
124_s0005,-1.1077663003022495,1.5222236273661716,끄덕임
124_s0006,-1.0716118988638395,1.075099182761286,팔 움직임
124_s0007,-0.311313948783564,-0.062401046196074304,볼에 바람 넣기
124_s0008,-0.013062631295478827,1.1527230874638643,팔 움직임
124_s0009,0.7517002432414581,0.5862090707691179,콧구멍 커짐
124_s0010,0.8823420050740394,-0.18767808291665172,어깨 움직임
124_s0011,0.9490694985935352,-0.6445756916529828,고개 움직임
124_s0012,0.6906624644933941,-1.0321273405029485,어깨 움직임
124_s0013,0.7771010966759107,-1.3112657678069888,입 벌림
124_s0014,0.4319891905634638,-1.1692580510666342,"손으로 목 만짐, 입 벌림"
124_s0015,0.26970744042691547,-1.0639342857653111,팔 움직임
124_s0016,0.3599239738948305,-1.249032363367351,손으로 코 만짐
124_s0017,0.4999205346240649,-1.3768207653762068,고개 움직임
124_s0018,0.4413080694057848,-0.785539575129699,입 움직임
124_s0019,0.4700796293573657,-0.5446157004709069,"손 들어 움직임, 손으로 입 가림"
124_s0020,0.09269324150949583,-0.2349134452495638,팔 움직임
124_s0021,-0.0945402652947491,0.4975819495686631,입 움직임
124_s0022,0.02977964704522522,0.16503742219946238,고개 움직임
124_s0023,0.19199931509375837,0.22998587421535152,"손으로 목 만짐, 입 벌림"
124_s0024,0.6513773273639707,-0.0864079803712716,상체 움직임
124_s0025,0.5673569238090915,-0.37242239599362686,고개 움직임
124_s0026,0.5941337735973536,0.19992631256344867,입 벌림
124_s0027,0.4684491450814543,0.11771821100508449,"입 움직임, 상체 움직임"
124_s0028,0.2865426953504383,0.03947893286304497,팔 들었다 내림
124_s0029,0.5229327658448342,0.07228781742276955,"입 움직임, 손가락으로 3 모양 만듬"
124_s0030,0.37831170233211625,0.32169675264843856,입 움직임
124_s0031,-1.1859810954469339,1.299246110329441,"입 움직임, 고개 움직임"
124_s0032,0.4840810163050611,-0.06524463696283725,손으로 코 만짐
124_s0033,0.7686952023319845,-0.7561280686531026,입 움직임
124_s0034,1.6272685410442285,-0.9217160312827222,팔 움직임
124_s0035,1.4559719060459486,-0.5473128679201124,손 꼼지락
124_s0036,1.2518038071083488,-0.4190218007395446,상체 움직임
124_s0037,0.8480707526515613,-0.6592639875222776,"상체 움직임, 얼굴 움직임"
124_s0038,0.7095761414134506,-0.5686191735915227,"팔 움직임, 웃음"
124_s0039,0.830030440814781,-0.5628988426336922,미소
124_s0040,0.41514850495540445,-0.3214329584095011,입 움직임
124_s0041,-0.27820883223273757,0.8953182060126993,"팔 움직임, 손으로 1표시"
124_s0042,-0.12325876483767606,0.63173848129306,입 움직임
124_s0043,-0.21292301032360028,0.6479344597593575,손으로 볼 긁기
124_s0044,0.7786068352812562,-0.4747905856952595,미소
124_s0045,0.4308331279976958,-0.15572315983419005,"웃음, 입 움직임"
124_s0046,0.061495075077356805,0.027656767955674694,입 움직임
124_s0047,0.06766635559387471,0.05176666266338301,손으로 1 표시
124_s0048,0.15155957369058856,-0.080457492544778,"입 움직임, 손가락으로 코 만짐"
124_s0049,-0.5091997605949539,0.2822496474132372,고개 저음
124_s0050,-0.34254026240259755,0.40125347290731356,"손으로 1, 4, 1 표시"
124_s0051,-0.684329338483646,0.5215310722912152,입 움직임
124_s0052,-0.7617853498262385,0.2816602395904822,의자 움직임
124_s0053,-0.32100449476525916,-0.1315636688656442,끄덕임
124_s0054,-0.7895378574422095,0.25889422418745994,상체 움직임
124_s0055,-0.9396992091662799,0.4255539815035756,웃음
124_s0056,-0.8616582681329713,0.4225417708425166,의자 움직임
124_s0057,0.017308643241915056,0.19839722051549333,입 벌림
124_s0058,-0.5852189630016358,-0.5703689630423806,입 벌림
124_s0059,-0.05762143218930403,-0.7668823836864406,"팔 움직임, 고개 저음"
124_s0060,-0.27331389946771956,-0.33174557380809594,"입 움직임, 손으로 4 표시"
124_s0061,-0.3375485111348501,-0.12677412153187356,입 벌림
